recipe_id,ingredient_id,quantity
"8f5f300a-7e6c-4488-ac6b-7303057a7053",ing-022-1a2b-20250420,"8 oz"
"8f5f300a-7e6c-4488-ac6b-7303057a7053",ing-023-1a2b-20250420,"1/2 lb"
"8f5f300a-7e6c-4488-ac6b-7303057a7053",ing-024-1a2b-20250420,"1/4 cup"
"189a1ebf-6292-41a9-ad6f-de36559d4c77",ing-025-1a2b-20250420,"1 lb"
"189a1ebf-6292-41a9-ad6f-de36559d4c77",ing-026-1a2b-20250420,"12"
"189a1ebf-6292-41a9-ad6f-de36559d4c77",ing-027-1a2b-20250420,"2"
"42118423-efe8-4b3a-89ce-e3e217b93487",ing-028-1a2b-20250420,"2"
"42118423-efe8-4b3a-89ce-e3e217b93487",ing-029-1a2b-20250420,"2 cups"
"42118423-efe8-4b3a-89ce-e3e217b93487",ing-030-1a2b-20250420,"1 cup"
"ca854bb8-9c2c-4396-971f-eebed6097405",ing-031-1a2b-20250420,"12 oz"
"ca854bb8-9c2c-4396-971f-eebed6097405",ing-032-1a2b-20250420,"1 cup"
"ca854bb8-9c2c-4396-971f-eebed6097405",ing-033-1a2b-20250420,"2"
"9c35b238-7766-472d-85b9-dcd1127e5f08",ing-034-1a2b-20250420,"1 lb"
"9c35b238-7766-472d-85b9-dcd1127e5f08",ing-035-1a2b-20250420,"12"
"9c35b238-7766-472d-85b9-dcd1127e5f08",ing-036-1a2b-20250420,"2 tbsp"
"d350fff2-4c9a-4193-ae3e-4f0c3988f20a",ing-037-1a2b-20250420,"2 cans"
"d350fff2-4c9a-4193-ae3e-4f0c3988f20a",ing-038-1a2b-20250420,"2"
"d350fff2-4c9a-4193-ae3e-4f0c3988f20a",ing-039-1a2b-20250420,"1 tbsp"
"4a0fa4de-cf61-439f-9761-9386eaba7287",ing-040-1a2b-20250420,"4 tbsp"
"4a0fa4de-cf61-439f-9761-9386eaba7287",ing-041-1a2b-20250420,"8 oz"
"4a0fa4de-cf61-439f-9761-9386eaba7287",ing-042-1a2b-20250420,"2 tbsp"
"bad788bb-7b34-4538-a79b-46d729001479",ing-043-1a2b-20250420,"1"
"bad788bb-7b34-4538-a79b-46d729001479",ing-044-1a2b-20250420,"6 oz"
"bad788bb-7b34-4538-a79b-46d729001479",ing-045-1a2b-20250420,"1/2 cup"
"059ad19d-9273-4d16-a48c-4c3fd2efbf56",ing-046-1a2b-20250420,"4"
"059ad19d-9273-4d16-a48c-4c3fd2efbf56",ing-047-1a2b-20250420,"1 lb"
"059ad19d-9273-4d16-a48c-4c3fd2efbf56",ing-048-1a2b-20250420,"1 cup"
"bc67e3b5-0051-48ca-98ed-ee3663bcad35",ing-049-1a2b-20250420,"4 cups"
"bc67e3b5-0051-48ca-98ed-ee3663bcad35",ing-050-1a2b-20250420,"8 oz"
"bc67e3b5-0051-48ca-98ed-ee3663bcad35",ing-051-1a2b-20250420,"2"
"1845b25a-2a73-42bf-97db-38685e41e0d8",ing-052-1a2b-20250420,"1"
"1845b25a-2a73-42bf-97db-38685e41e0d8",ing-053-1a2b-20250420,"1 can"
"1845b25a-2a73-42bf-97db-38685e41e0d8",ing-054-1a2b-20250420,"2 tbsp"
"d1dbdb82-be55-4722-97eb-8117046ab7ef",ing-055-1a2b-20250420,"3 lbs"
"d1dbdb82-be55-4722-97eb-8117046ab7ef",ing-056-1a2b-20250420,"1 cup"
"d1dbdb82-be55-4722-97eb-8117046ab7ef",ing-057-1a2b-20250420,"1/4 cup"
"0bb44e60-c7c9-415c-bc5d-152e3fd73ba2",ing-058-1a2b-20250420,"2 cups"
"0bb44e60-c7c9-415c-bc5d-152e3fd73ba2",ing-059-1a2b-20250420,"1/2 cup"
"0bb44e60-c7c9-415c-bc5d-152e3fd73ba2",ing-060-1a2b-20250420,"1 tsp"
"7af75d1d-1ca3-4d9f-b311-cb4f781884b5",ing-061-1a2b-20250420,"1/2 cup"
"7af75d1d-1ca3-4d9f-b311-cb4f781884b5",ing-062-1a2b-20250420,"2 cups"
"7af75d1d-1ca3-4d9f-b311-cb4f781884b5",ing-063-1a2b-20250420,"1 cup"
"e888452f-9273-48b3-97d1-112e09f63adb",ing-064-1a2b-20250420,"2"
"e888452f-9273-48b3-97d1-112e09f63adb",ing-065-1a2b-20250420,"6"
"e888452f-9273-48b3-97d1-112e09f63adb",ing-066-1a2b-20250420,"1 tbsp"
"50cf15b3-c4ad-4338-9098-ff68a496c506",ing-067-1a2b-20250420,"3"
"50cf15b3-c4ad-4338-9098-ff68a496c506",ing-068-1a2b-20250420,"1 tsp"
"50cf15b3-c4ad-4338-9098-ff68a496c506",ing-069-1a2b-20250420,"1/2 cup"
"9592cd02-8679-43c8-967c-92ba71414c56",ing-070-1a2b-20250420,"4 slices"
"9592cd02-8679-43c8-967c-92ba71414c56",ing-071-1a2b-20250420,"4 slices"
"9592cd02-8679-43c8-967c-92ba71414c56",ing-072-1a2b-20250420,"2 tbsp"
"0d3f6833-ee7b-4c05-9771-17506df966c7",ing-073-1a2b-20250420,"1.5 lbs"
"0d3f6833-ee7b-4c05-9771-17506df966c7",ing-074-1a2b-20250420,"4"
"0d3f6833-ee7b-4c05-9771-17506df966c7",ing-075-1a2b-20250420,"1/4 head"
"1f43ffcf-381f-451f-ba3d-ca28a39e7bee",ing-076-1a2b-20250420,"2 cups"
"1f43ffcf-381f-451f-ba3d-ca28a39e7bee",ing-077-1a2b-20250420,"4 sheets"
"1f43ffcf-381f-451f-ba3d-ca28a39e7bee",ing-078-1a2b-20250420,"8 oz"
"e7d3ef9d-1c98-4d69-950f-17d81709f230",ing-079-1a2b-20250420,"2 cups"
"e7d3ef9d-1c98-4d69-950f-17d81709f230",ing-080-1a2b-20250420,"3 tbsp"
"e7d3ef9d-1c98-4d69-950f-17d81709f230",ing-081-1a2b-20250420,"4"
"c3cf21c5-47b4-45c9-b6a5-2e95de62f4df",ing-082-1a2b-20250420,"12 sheets"
"c3cf21c5-47b4-45c9-b6a5-2e95de62f4df",ing-083-1a2b-20250420,"16 oz"
"c3cf21c5-47b4-45c9-b6a5-2e95de62f4df",ing-084-1a2b-20250420,"1 lb"
"1433a29a-589f-4940-9ccd-cbdfb673c304",ing-085-1a2b-20250420,"2 lbs"
"1433a29a-589f-4940-9ccd-cbdfb673c304",ing-086-1a2b-20250420,"1/4 cup"
"1433a29a-589f-4940-9ccd-cbdfb673c304",ing-087-1a2b-20250420,"1/2 cup"
"0b9282c0-8fa6-47d0-96f1-10bf6b91a7b2",ing-088-1a2b-20250420,"1"
"0b9282c0-8fa6-47d0-96f1-10bf6b91a7b2",ing-089-1a2b-20250420,"6"
"0b9282c0-8fa6-47d0-96f1-10bf6b91a7b2",ing-090-1a2b-20250420,"1/2 cup"
"10000000-0000-0000-0000-000000000001",ing-091-1a2b-20250420,"1.5 cups"
"10000000-0000-0000-0000-000000000001",ing-092-1a2b-20250420,"8 oz"
"10000000-0000-0000-0000-000000000001",ing-093-1a2b-20250420,"1/2 cup"
"10000000-0000-0000-0000-000000000002",ing-094-1a2b-20250420,"2 lbs"
"10000000-0000-0000-0000-000000000002",ing-095-1a2b-20250420,"1/2 cup"
"10000000-0000-0000-0000-000000000002",ing-096-1a2b-20250420,"1/4 cup"
"10000000-0000-0000-0000-000000000003",ing-097-1a2b-20250420,"1 lb"
"10000000-0000-0000-0000-000000000003",ing-098-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000003",ing-099-1a2b-20250420,"2 tbsp"
"10000000-0000-0000-0000-000000000004",ing-100-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000004",ing-101-1a2b-20250420,"1/2 tsp"
"10000000-0000-0000-0000-000000000004",ing-102-1a2b-20250420,"1 tbsp"
"10000000-0000-0000-0000-000000000005",ing-103-1a2b-20250420,"1.5 lbs"
"10000000-0000-0000-0000-000000000005",ing-104-1a2b-20250420,"1 cup"
"10000000-0000-0000-0000-000000000005",ing-105-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000006",ing-106-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000006",ing-107-1a2b-20250420,"1 cup"
"10000000-0000-0000-0000-000000000006",ing-108-1a2b-20250420,"3"
"10000000-0000-0000-0000-000000000007",ing-109-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000007",ing-110-1a2b-20250420,"4"
"10000000-0000-0000-0000-000000000007",ing-111-1a2b-20250420,"1/4 cup"
"10000000-0000-0000-0000-000000000008",ing-112-1a2b-20250420,"1/2 cup"
"10000000-0000-0000-0000-000000000008",ing-113-1a2b-20250420,"2 tbsp"
"10000000-0000-0000-0000-000000000008",ing-114-1a2b-20250420,"1 lb"
"10000000-0000-0000-0000-000000000009",ing-115-1a2b-20250420,"2 lbs"
"10000000-0000-0000-0000-000000000009",ing-116-1a2b-20250420,"2"
"10000000-0000-0000-0000-000000000009",ing-117-1a2b-20250420,"8"
"10000000-0000-0000-0000-000000000010",ing-118-1a2b-20250420,"3"
"10000000-0000-0000-0000-000000000010",ing-119-1a2b-20250420,"1 cup"
"10000000-0000-0000-0000-000000000010",ing-120-1a2b-20250420,"1 tbsp"
"10000000-0000-0000-0000-000000000011",ing-121-1a2b-20250420,"1 cup"
"10000000-0000-0000-0000-000000000011",ing-122-1a2b-20250420,"1 pint"
"10000000-0000-0000-0000-000000000011",ing-123-1a2b-20250420,"1/4 cup"
"10000000-0000-0000-0000-000000000012",ing-124-1a2b-20250420,"1 cup"
"10000000-0000-0000-0000-000000000012",ing-125-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000012",ing-126-1a2b-20250420,"1/4 cup"
"10000000-0000-0000-0000-000000000013",ing-127-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000013",ing-128-1a2b-20250420,"1 lb"
"10000000-0000-0000-0000-000000000013",ing-129-1a2b-20250420,"1 pinch"
"10000000-0000-0000-0000-000000000014",ing-130-1a2b-20250420,"2"
"10000000-0000-0000-0000-000000000014",ing-131-1a2b-20250420,"1 tbsp"
"10000000-0000-0000-0000-000000000014",ing-132-1a2b-20250420,"1 inch"
"10000000-0000-0000-0000-000000000015",ing-133-1a2b-20250420,"1.5 lbs"
"10000000-0000-0000-0000-000000000015",ing-134-1a2b-20250420,"1 can"
"10000000-0000-0000-0000-000000000015",ing-135-1a2b-20250420,"1"
"10000000-0000-0000-0000-000000000016",ing-136-1a2b-20250420,"4"
"10000000-0000-0000-0000-000000000016",ing-137-1a2b-20250420,"1 cup"
"10000000-0000-0000-0000-000000000016",ing-138-1a2b-20250420,"2 tbsp"
"10000000-0000-0000-0000-000000000017",ing-139-1a2b-20250420,"2 lbs"
"10000000-0000-0000-0000-000000000017",ing-140-1a2b-20250420,"1/2 cup"
"10000000-0000-0000-0000-000000000017",ing-141-1a2b-20250420,"2 tbsp"
"10000000-0000-0000-0000-000000000018",ing-142-1a2b-20250420,"12 sheets"
"10000000-0000-0000-0000-000000000018",ing-143-1a2b-20250420,"2"
"10000000-0000-0000-0000-000000000018",ing-144-1a2b-20250420,"2 cups"
"10000000-0000-0000-0000-000000000019",ing-145-1a2b-20250420,"4"
"10000000-0000-0000-0000-000000000019",ing-146-1a2b-20250420,"1 cup"
"10000000-0000-0000-0000-000000000019",ing-147-1a2b-20250420,"8 slices"
"10000000-0000-0000-0000-000000000020",ing-148-1a2b-20250420,"12"
"10000000-0000-0000-0000-000000000020",ing-149-1a2b-20250420,"2 cans"
"10000000-0000-0000-0000-000000000020",ing-150-1a2b-20250420,"2 cups"
"20000000-0000-0000-0000-000000000001",ing-151-1a2b-20250420,"1/2 cup"
"20000000-0000-0000-0000-000000000001",ing-152-1a2b-20250420,"5 cups"
"20000000-0000-0000-0000-000000000001",ing-153-1a2b-20250420,"2 tsp"
"20000000-0000-0000-0000-000000000002",ing-154-1a2b-20250420,"2 tsp"
"20000000-0000-0000-0000-000000000002",ing-155-1a2b-20250420,"4 cups"
"20000000-0000-0000-0000-000000000002",ing-156-1a2b-20250420,"2 cups"
"20000000-0000-0000-0000-000000000003",ing-157-1a2b-20250420,"2 cups"
"20000000-0000-0000-0000-000000000003",ing-158-1a2b-20250420,"2 tbsp"
"20000000-0000-0000-0000-000000000003",ing-159-1a2b-20250420,"1 tbsp"
"20000000-0000-0000-0000-000000000004",ing-160-1a2b-20250420,"1/4 cup"
"20000000-0000-0000-0000-000000000004",ing-161-1a2b-20250420,"2 sprigs"
"20000000-0000-0000-0000-000000000004",ing-162-1a2b-20250420,"1 tsp"
"20000000-0000-0000-0000-000000000005",ing-163-1a2b-20250420,"3 cups"
"20000000-0000-0000-0000-000000000005",ing-164-1a2b-20250420,"1 cup"
"20000000-0000-0000-0000-000000000005",ing-165-1a2b-20250420,"1.5 cups"
"20000000-0000-0000-0000-000000000006",ing-166-1a2b-20250420,"1 cup"
"20000000-0000-0000-0000-000000000006",ing-167-1a2b-20250420,"1/2 cup"
"20000000-0000-0000-0000-000000000006",ing-168-1a2b-20250420,"1/4 cup"
"20000000-0000-0000-0000-000000000007",ing-169-1a2b-20250420,"3"
"20000000-0000-0000-0000-000000000007",ing-170-1a2b-20250420,"2 tbsp"
"20000000-0000-0000-0000-000000000007",ing-171-1a2b-20250420,"2 tbsp"
"20000000-0000-0000-0000-000000000007",ing-172-1a2b-20250420,"4 cups"
