id,name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g
ing-026-1a2b-20250420,Soft Tortillas,218,6,6,36
ing-027-1a2b-20250420,Fresh Lime,30,0.7,0.2,11
ing-028-1a2b-20250420,Eggplant,25,1,0.2,6
ing-029-1a2b-20250420,Marinara Sauce,74,2.1,3.2,6.4
ing-030-1a2b-20250420,Parmesan Cheese,431,38,29,4.1
ing-031-1a2b-20250420,Fettuccine,157,5.8,0.9,30
ing-032-1a2b-20250420,Cream,340,2.1,37,2.8
ing-033-1a2b-20250420,Grilled Chicken,165,31,3.6,0
ing-034-1a2b-20250420,Ground Beef,250,26,17,0
ing-035-1a2b-20250420,Taco Shells,150,2.1,8.1,18
ing-036-1a2b-20250420,Taco Seasoning,282,14,13,54
ing-037-1a2b-20250420,Kidney Beans,127,8.7,0.5,22.8
ing-038-1a2b-20250420,Bell Peppers,20,0.9,0.2,4.6
ing-039-1a2b-20250420,Chili Powder,282,14,13,54
ing-040-1a2b-20250420,Garlic Butter,717,0.9,81,0.1
ing-041-1a2b-20250420,Linguine,157,5.8,0.9,30
ing-042-1a2b-20250420,Lemon Juice,22,0.4,0.2,6.9
ing-043-1a2b-20250420,Cucumber,16,0.7,0.1,4
ing-044-1a2b-20250420,Feta Cheese,264,14,21,4.1
ing-045-1a2b-20250420,Kalamata Olives,115,0.8,10.7,6.3
ing-046-1a2b-20250420,Green Bell Peppers,20,0.9,0.2,4.6
ing-047-1a2b-20250420,Ground Turkey,173,24,8,0
ing-048-1a2b-20250420,Long Grain Rice,130,2.7,0.3,28
ing-049-1a2b-20250420,Chicken Broth,15,3,0.5,1
ing-050-1a2b-20250420,Egg Noodles,138,5,0.9,25
ing-051-1a2b-20250420,Carrots,41,0.9,0.2,9.6
ing-052-1a2b-20250420,Cauliflower,25,1.9,0.3,5
ing-053-1a2b-20250420,Coconut Milk,230,2.3,24,6
ing-054-1a2b-20250420,Curry Paste,100,3.1,5.2,12.8
ing-055-1a2b-20250420,Pork Ribs,291,26,20,0
ing-056-1a2b-20250420,BBQ Sauce,150,1.2,0.5,35
ing-057-1a2b-20250420,Brown Sugar,377,0.1,0,97
ing-058-1a2b-20250420,Pancake Mix,371,8.9,7.9,74
ing-059-1a2b-20250420,Maple Syrup,260,0,0.2,67
ing-060-1a2b-20250420,Baking Powder,53,0,0,28
ing-061-1a2b-20250420,Cocoa Powder,228,20,14,58
ing-062-1a2b-20250420,Flour,364,10,1,76
ing-063-1a2b-20250420,Chocolate Frosting,400,2.8,17,65
ing-064-1a2b-20250420,Pie Crust,450,6,29,44
ing-065-1a2b-20250420,Apples,52,0.3,0.2,14
ing-066-1a2b-20250420,Cinnamon,247,4,1.2,81
ing-067-1a2b-20250420,Ripe Bananas,89,1.1,0.3,23
ing-068-1a2b-20250420,Baking Soda,0,0,0,0
ing-069-1a2b-20250420,Walnuts,654,15,65,14
ing-070-1a2b-20250420,White Bread,265,9,3.2,49
ing-071-1a2b-20250420,Cheddar Cheese,402,25,33,1.3
ing-072-1a2b-20250420,Butter,717,0.9,81,0.1
ing-073-1a2b-20250420,Ground Chuck,250,26,17,0
ing-074-1a2b-20250420,Hamburger Buns,265,9,4.1,48
ing-075-1a2b-20250420,Lettuce,14,1.4,0.2,2.9
ing-076-1a2b-20250420,Sushi Rice,130,2.7,0.3,28
ing-077-1a2b-20250420,Nori Seaweed,35,5.8,0.3,5.1
ing-078-1a2b-20250420,Sashimi Grade Fish,132,29,1,0
ing-079-1a2b-20250420,Jasmine Rice,130,2.7,0.3,28
ing-080-1a2b-20250420,Soy Sauce,56,8.1,0.6,5.6
ing-081-1a2b-20250420,Green Onions,32,1.8,0.2,7.3
ing-082-1a2b-20250420,Lasagna Noodles,157,5.8,0.9,30
ing-083-1a2b-20250420,Ricotta Cheese,174,11,13,3
ing-084-1a2b-20250420,Ground Italian Sausage,291,19,23,4
ing-085-1a2b-20250420,Chicken Wings,203,30,9,0
ing-086-1a2b-20250420,Hot Sauce,12,0.5,0.1,2.8
ing-087-1a2b-20250420,Blue Cheese Dressing,350,3.1,37,2.9
ing-088-1a2b-20250420,Pie Dough,450,6,29,44
ing-089-1a2b-20250420,Eggs,155,13,11,1.1
ing-090-1a2b-20250420,Heavy Cream,340,2.1,37,2.8
ing-091-1a2b-20250420,Arborio Rice,130,2.7,0.3,28
ing-092-1a2b-20250420,Mushrooms,22,3.1,0.3,3.3
ing-093-1a2b-20250420,White Wine,83,0.1,0,2.6
ing-094-1a2b-20250420,Lamb,294,25,21,0
ing-095-1a2b-20250420,Dried Apricots,241,3.4,0.5,63
ing-096-1a2b-20250420,Almonds,579,21,50,22
ing-097-1a2b-20250420,Firm Tofu,144,15,9,3
ing-098-1a2b-20250420,Broccoli,34,2.8,0.4,7
ing-099-1a2b-20250420,Sesame Oil,884,0,100,0
ing-100-1a2b-20250420,Pumpkin Puree,26,1,0.1,7
ing-101-1a2b-20250420,Nutmeg,525,5.8,36,49
ing-102-1a2b-20250420,Ginger,80,1.8,0.8,18
ing-103-1a2b-20250420,Cod Fillets,105,23,0.9,0
ing-104-1a2b-20250420,Green Peas,81,5.4,0.4,14.5
ing-105-1a2b-20250420,Mashed Potatoes,90,2,4.2,14
ing-106-1a2b-20250420,Basmati Rice,130,2.7,0.3,28
ing-107-1a2b-20250420,Frozen Peas,81,5.4,0.4,14.5
ing-108-1a2b-20250420,Scrambled Eggs,155,13,11,1.1
ing-109-1a2b-20250420,Chickpeas,164,8.9,2.6,27
ing-110-1a2b-20250420,Pita Bread,275,9,4,56
ing-111-1a2b-20250420,Tahini,595,18,54,21
ing-112-1a2b-20250420,Basil Pesto,450,4.1,44,7.4
ing-113-1a2b-20250420,Pine Nuts,673,14,68,13
ing-114-1a2b-20250420,Penne Pasta,157,5.8,0.9,30
ing-115-1a2b-20250420,Chicken Breast,165,31,3.6,0
ing-116-1a2b-20250420,Yellow Onions,40,1.1,0.1,9.3
ing-117-1a2b-20250420,Flour Tortillas,218,6,6,36
ing-118-1a2b-20250420,Potato,77,2,0.1,17
ing-119-1a2b-20250420,Peas,81,5.4,0.4,14.5
ing-120-1a2b-20250420,Cumin,375,18,22,44
ing-121-1a2b-20250420,Tricolor Quinoa,368,14,6,64
ing-122-1a2b-20250420,Cherry Tomatoes,18,0.9,0.2,3.9
ing-123-1a2b-20250420,Lemon Vinaigrette,470,0.5,50,8
ing-124-1a2b-20250420,Pizza Sauce,74,2.1,3.2,6.4
ing-125-1a2b-20250420,BBQ Chicken,150,25,4.2,5.8
ing-126-1a2b-20250420,Fresh Cilantro,23,2.1,0.5,3.7
ing-127-1a2b-20250420,Short Grain Rice,130,2.7,0.3,28
ing-128-1a2b-20250420,Mussels,172,24,4.6,7.4
ing-129-1a2b-20250420,Saffron,310,11,6,65
ing-130-1a2b-20250420,Japanese Eggplant,25,1,0.2,6
ing-131-1a2b-20250420,Garam Masala,379,13,15,64
ing-132-1a2b-20250420,Fresh Ginger,80,1.8,0.8,18
ing-133-1a2b-20250420,Ground Turkey,173,24,8,0
ing-134-1a2b-20250420,Black Beans,132,8.9,0.5,23.7
ing-135-1a2b-20250420,Red Bell Pepper,31,1,0.3,7.3
ing-136-1a2b-20250420,Medium Zucchini,17,1.2,0.3,3.1
ing-137-1a2b-20250420,Couscous,112,3.8,0.2,23
ing-138-1a2b-20250420,Fresh Mint,44,3.8,0.7,8.4
ing-139-1a2b-20250420,Salmon Fillets,208,20,13,0
ing-140-1a2b-20250420,Teriyaki Sauce,89,6.1,0.1,15
ing-141-1a2b-20250420,Sesame Seeds,573,18,50,23
ing-142-1a2b-20250420,Lasagna Sheets,157,5.8,0.9,30
ing-143-1a2b-20250420,Zucchini,17,1.2,0.3,3.1
ing-144-1a2b-20250420,Spinach,23,2.9,0.4,3.6
ing-145-1a2b-20250420,Chicken Cutlets,165,31,3.6,0
ing-146-1a2b-20250420,Breadcrumbs,350,11,4.2,71
ing-147-1a2b-20250420,Provolone Cheese,351,25,27,2.1
ing-148-1a2b-20250420,Corn Tortillas,218,6,6,36
ing-149-1a2b-20250420,Enchilada Sauce,35,1.2,1.5,6.8
ing-150-1a2b-20250420,Mexican Blend Cheese,350,25,28,2.5
ing-151-1a2b-20250420,Sourdough Starter,189,7.5,1.3,37
ing-152-1a2b-20250420,Bread Flour,364,13,1.7,72
ing-153-1a2b-20250420,Sea Salt,0,0,0,0
ing-154-1a2b-20250420,Active Dry Yeast,325,40,7,41
ing-155-1a2b-20250420,All-Purpose Flour,364,10,1,76
ing-156-1a2b-20250420,Warm Water,0,0,0,0
ing-157-1a2b-20250420,Rye Flour,338,10,1.6,76
ing-158-1a2b-20250420,Caraway Seeds,333,20,15,50
ing-159-1a2b-20250420,Molasses,290,0,0.1,75
ing-160-1a2b-20250420,Olive Oil,884,0,100,0
ing-161-1a2b-20250420,Fresh Rosemary,131,3.3,5.9,21
ing-162-1a2b-20250420,Sea Salt Flakes,0,0,0,0
ing-163-1a2b-20250420,Italian 00 Flour,364,10,1,76
ing-164-1a2b-20250420,Semolina Flour,364,13,1.1,73
ing-165-1a2b-20250420,Lukewarm Water,0,0,0,0
ing-166-1a2b-20250420,Unsalted Butter,717,0.9,81,0.1
ing-167-1a2b-20250420,Whole Milk,61,3.2,3.3,4.8
ing-168-1a2b-20250420,Granulated Sugar,387,0,0,100
ing-169-1a2b-20250420,Large Eggs,155,13,11,1.1
ing-170-1a2b-20250420,Honey,304,0.3,0,82
ing-171-1a2b-20250420,Sesame Seeds,573,18,50,23
ing-172-1a2b-20250420,Bread Flour,364,13,1.7,72
ing-173-1a2b-20250420,Yogurt,59,10,0.4,3.6
ing-174-1a2b-20250420,Ghee,900,0,100,0
ing-175-1a2b-20250420,Bread Flour,364,13,1.7,72
ing-176-1a2b-20250420,Instant Yeast,325,40,7,41
ing-177-1a2b-20250420,Warm Water,0,0,0,0
ing-178-1a2b-20250420,Yellow Cornmeal,362,8.1,3.9,79
ing-179-1a2b-20250420,Buttermilk,61,3.1,3.3,4.8
ing-180-1a2b-20250420,Honey,304,0.3,0,82
ing-181-1a2b-20250420,Wild Salmon Fillets,208,20,13,0
ing-182-1a2b-20250420,Fresh Dill,43,3.5,1.1,7
ing-183-1a2b-20250420,Capers,23,2.4,0.9,4.9
ing-184-1a2b-20250420,Cod Fillets,105,23,0.9,0
ing-185-1a2b-20250420,Beer Batter,275,8,5,50
ing-186-1a2b-20250420,Russet Potatoes,87,2.3,0.1,20
ing-187-1a2b-20250420,Canned Tuna,132,29,1,0
ing-188-1a2b-20250420,Egg Noodles,138,5,0.9,25
ing-189-1a2b-20250420,Cream of Mushroom Soup,67,1.6,4.1,7.2
ing-190-1a2b-20250420,Black Cod,132,24,3,0
ing-191-1a2b-20250420,White Miso Paste,199,12,6,26
ing-192-1a2b-20250420,Mirin,241,0.1,0,56
ing-193-1a2b-20250420,Clams,148,26,2,5
ing-194-1a2b-20250420,Mussels,172,24,4.6,7.4
ing-195-1a2b-20250420,Fish Stock,12,2.5,0.2,0.5
30000000-0000-0000-0000-000003000446,Sunflower Seeds,584,21,51,20
ing-201-1a2b-20250420,Cinnamon Sugar,387,0,0,100
ing-202-1a2b-20250420,Frying Oil,884,0,100,0
ing-203-1a2b-20250420,Powdered Sugar,387,0,0,100
ing-204-1a2b-20250420,Mascarpone Cheese,350,4.8,35,4.6
ing-205-1a2b-20250420,Espresso,2,0.1,0,0.4
ing-206-1a2b-20250420,Cocoa Powder,228,20,14,58
ing-207-1a2b-20250420,Ramen Noodles,138,5,0.9,25
ing-208-1a2b-20250420,Pork Broth,15,2.9,0.5,0.4
ing-209-1a2b-20250420,Scallions,32,1.8,0.2,7.3
ing-301-1a2b-20250420,Almond Flour,598,21,55,19
ing-302-1a2b-20250420,Coconut Oil,862,0,100,0
ing-303-1a2b-20250420,Vanilla Extract,288,0.1,0.1,13
ing-304-1a2b-20250420,Chicken Thighs,239,26,14,0
ing-305-1a2b-20250420,Curry Powder,325,14,14,58
ing-306-1a2b-20250420,Greek Yogurt,59,10,0.4,3.6
ing-307-1a2b-20250420,Rice Noodles,138,3,0.4,32
ing-308-1a2b-20250420,Fish Sauce,35,5.9,0,1.5
ing-309-1a2b-20250420,Peanut Butter,588,25,50,20
ing-401-1a2b-20250420,Zucchini,17,1.2,0.3,3.1
ing-402-1a2b-20250420,Olive Oil,884,0,100,0
ing-403-1a2b-20250420,Herbs,315,8,7,63
ing-404-1a2b-20250420,Paneer,265,18,20,1.2
ing-405-1a2b-20250420,Tomato Sauce,74,2.1,3.2,6.4
ing-406-1a2b-20250420,Cream,340,2.1,37,2.8
ing-407-1a2b-20250420,Cabbage,25,1.3,0.1,5.8
ing-408-1a2b-20250420,Okonomiyaki Sauce,150,1.2,0.5,35
ing-409-1a2b-20250420,Mayonnaise,680,1.1,75,0.6
ing-410-1a2b-20250420,Flour,364,10,1,76
ing-411-1a2b-20250420,Cinnamon Sugar,387,0,0,100
ing-412-1a2b-20250420,Frying Oil,884,0,100,0
ing-413-1a2b-20250420,Mascarpone Cheese,350,4.8,35,4.6
ing-414-1a2b-20250420,Espresso,2,0.1,0,0.4
ing-415-1a2b-20250420,Cocoa Powder,228,20,14,58
ing-501-1a2b-20250420,Seafood Mix,92,16,1.5,4.8
ing-502-1a2b-20250420,Fish Stock,12,2.5,0.2,0.5
ing-503-1a2b-20250420,Saffron,310,11,6,65
ing-504-1a2b-20250420,Lamb,294,25,21,0
ing-505-1a2b-20250420,Yogurt,59,10,0.4,3.6
ing-506-1a2b-20250420,Spices,315,8,7,63
ing-507-1a2b-20250420,Soba Noodles,138,5.8,0.7,27
ing-508-1a2b-20250420,Dipping Sauce,65,6.1,0.1,15
ing-509-1a2b-20250420,Green Onions,32,1.8,0.2,7.3
ing-510-1a2b-20250420,Poblano Peppers,20,1,0.3,4.6
ing-511-1a2b-20250420,Cheese,402,25,33,1.3
ing-512-1a2b-20250420,Breadcrumbs,350,11,4.2,71
ing-513-1a2b-20250420,Tortellini,157,5.8,0.9,30
ing-514-1a2b-20250420,Vegetable Broth,12,0.4,0.1,2.8
ing-515-1a2b-20250420,Parmesan Cheese,431,38,29,4.1
ing-604-1a2b-20250420,Chicken Broth,15,3,0.5,1
ing-605-1a2b-20250420,Matzo Meal,364,10,1.4,78
ing-606-1a2b-20250420,Parsley,36,3,0.8,6.3
ing-607-1a2b-20250420,Potatoes,87,2.3,0.1,20
ing-608-1a2b-20250420,Onions,40,1.1,0.1,9.3
ing-609-1a2b-20250420,Flour,364,10,1,76
ing-610-1a2b-20250420,Pastry Dough,450,6,29,44
ing-611-1a2b-20250420,Jam,278,0.4,0.1,69
ing-612-1a2b-20250420,Walnuts,654,15,65,14
ing-613-1a2b-20250420,White Fish,128,26,1.4,0
ing-614-1a2b-20250420,Carrots,41,0.9,0.2,9.6
ing-615-1a2b-20250420,Eggs,155,13,11,1.1
ing-701-1a2b-20250420,Onions,40,1.1,0.1,9.3
ing-702-1a2b-20250420,Bell Peppers,20,0.9,0.2,4.6
ing-703-1a2b-20250420,Tomatoes,18,0.9,0.2,3.9
ing-704-1a2b-20250420,Egg Noodles,138,5,0.9,25
ing-705-1a2b-20250420,Eggs,155,13,11,1.1
ing-706-1a2b-20250420,Sour Cream,61,2.9,6,4.6
ing-707-1a2b-20250420,Barley,123,2.3,0.4,28
ing-708-1a2b-20250420,Beans,127,8.7,0.5,22.8
ing-709-1a2b-20250420,Beef,250,26,17,0
ing-710-1a2b-20250420,Flour,364,10,1,76
ing-711-1a2b-20250420,Cheese,402,25,33,1.3
ing-712-1a2b-20250420,Sugar,387,0,0,100
ing-713-1a2b-20250420,Carrots,41,0.9,0.2,9.6
ing-714-1a2b-20250420,Sweet Potatoes,86,1.6,0.1,20
ing-715-1a2b-20250420,Honey,304,0.3,0,82
